Accession,Gene,coef,pval
Q9H4F8-2,SMOC1,1.8027823112493369,2.298554731986245e-16
E9PLM6,MDK,1.6634403458218985,9.533849225305436e-12
P05067,APP,1.6257952590871847,6.988686108110641e-11
A0A087WWT2,NRN1,-1.5833743268606466,5.05472836496801e-10
Q99784,OLFM1,-1.5462953901526761,2.363332309416264e-09
Q8NAA5,LRRC75A,-1.5401589656284218,3.006387580997397e-09
Q96NI6,LRFN5,-1.529535623219929,4.51940622599813e-09
Q14571,ITPR2,1.509881406768382,9.337636306856828e-09
Q96CG8,CTHRC1,1.5067269349803687,1.045666694496229e-08
Q13490,BIRC2,-1.5046264907865168,1.1269731450020425e-08
O75116,ROCK2,-1.4986397164527177,1.3921720028827002e-08
A6NHX0,GATSL2,-1.495698758149672,1.5427376085212746e-08
P41240,CSK,1.495475639305894,1.554757662930792e-08
P01111,NRAS,-1.4922179434134186,1.7404867010051647e-08
P31431,SDC4,1.490926345368241,1.8196810599619384e-08
Q15223,PVRL1,-1.4803791473488062,2.6037189370351654e-08
H3BS89,TMEM178B,-1.4621020761459758,4.745539831445532e-08
F2Z2J1,RPS6KA2,1.4597909870852877,5.110624177684706e-08
Q93009,USP7,-1.4578565969504442,5.436078029694948e-08
Q15435,PPP1R7,-1.457112777599157,5.566267835096399e-08
Q99250,SCN2A,-1.455811876857736,5.80094670460755e-08
Q13367,AP3B2,-1.4547285974636734,6.00334309792406e-08
P01112,HRAS,-1.4425441084900656,8.779017301021201e-08
Q15819,UBE2V2,-1.4388407991333019,9.833981956371009e-08
Q9BTN0,LRFN3,-1.4351628939893089,1.0997084164693399e-07
Q8N9N7,LRRC57,-1.4233321542694302,1.566098476066855e-07
P53677,AP3M2,-1.415384653749868,1.9759570622835893e-07
Q9UPR0,PLCL2,-1.410036757826257,2.3054351424639152e-07
P47972,NPTX2,-1.4092116955850107,2.3605766387396135e-07
Q9Y3S1,WNK2,-1.4087768593579524,2.39012710671047e-07
P19367-3,HK1,-1.40045952531006,3.025631633059117e-07
O95782,AP2A1,-1.3975883953819572,3.2790607097301064e-07
P21796,VDAC1,-1.3962423910493182,3.404508974466429e-07
P02649,APOE,1.395042394196977,3.52007825467832e-07
O75078,ADAM11,-1.3938002536203566,3.643520723012834e-07
Q9Y4E6,WDR7,-1.3930800162925094,3.7169188910870285e-07
Q96F24,NRBF2,-1.3922937113247422,3.798610016870292e-07
Q15102,PAFAH1B3,1.3907972462945346,3.9586872684513146e-07
O94826,TOMM70A,-1.3870541704399293,4.3868042607721263e-07
Q9H2M9,RAB3GAP2,-1.3825395819874426,4.96000754719656e-07
P05362,ICAM1,1.379530051844855,5.379761168658193e-07
P10636,MAPT,1.3790706524026044,5.446650072570544e-07
I3L0A0,TMEM189-UBE2V1,-1.3787021313192849,5.5008616745031e-07
Q8TDX7,NEK7,1.3741593527449236,6.211384184234697e-07
Q9NQT8,KIF13B,1.3740429457894199,6.230657842656225e-07
Q9ULR3,PPM1H,-1.3719752206476405,6.582354965536148e-07
O15075-2,DCLK1,-1.3713557212754064,6.691241214532686e-07
O00429-6,DNM1L,-1.3694749750087034,7.032086859362787e-07
P15056,BRAF,-1.369122048771024,7.097807040223687e-07
Q04837,SSBP1,-1.3682282711430847,7.266787562295753e-07
Q13501,SQSTM1,1.3669491225053547,7.51509771871184e-07
Q02156,PRKCE,-1.3666685692908422,7.570596337110363e-07
Q9GZN7,ROGDI,-1.3658331522371725,7.738106584066924e-07
P60880,SNAP25,-1.3646021677561655,7.991176660464569e-07
Q15120-2,PDK3,-1.3642575646717272,8.063378018854933e-07
Q9NRD5,PICK1,-1.3605848289103397,8.87121074999879e-07
Q96I99,SUCLG2,1.3529989887702853,1.0781380591724891e-06
Q9UDY4,DNAJB4,-1.351566386630648,1.118217087392969e-06
V9GYM8,ARHGEF2,-1.3494757173539949,1.1791773379527032e-06
Q8IV01,SYT12,-1.348871440252052,1.1973595560434682e-06
