Accession,Gene,coef,pval
P05067,APP,3.6751925026778345,0.0003589599028071958
Q9H2M9,RAB3GAP2,-2.282263851002189,0.00048355014670832167
Q8IV01,SYT12,-2.1749532830835747,0.0004929287853765736
O75116,ROCK2,-3.1477776065275815,0.0005080346088649166
Q9ULR3,PPM1H,-2.247118395049164,0.0005155038901193327
P01111,NRAS,-2.7544463949975926,0.000543006359312615
Q96HS1,PGAM5,-2.003475957283321,0.0005486223740436081
Q15819,UBE2V2,-2.6768740317377953,0.000553917514123293
P40121,CAPG,2.170653051984311,0.0005543033061871654
Q9UL15-2,BAG5,-2.1999549351209344,0.0006055110856880973
O75078,ADAM11,-2.423616548773215,0.0006397759369610917
Q14956,GPNMB,3.6813691808027644,0.0006399921485667207
Q15223,PVRL1,-3.7889548401817623,0.000652932719958736
P45985-2,MAP2K4,-2.06873089265161,0.0006544726897615394
Q8TDC3-2,BRSK1,-2.069654132367215,0.0006914837267919469
P21796,VDAC1,-2.545470570520033,0.00069629251181859
Q8TDX7,NEK7,2.417458553444338,0.00071110752055799
Q9UPR0,PLCL2,-2.561240173014091,0.0007156564640281686
J3QRU1,YES1,2.0098702876419527,0.0007370702848904997
P10586,PTPRF,-2.3051751551985427,0.0007596820672665081
Q3ZCW2,LGALSL,-2.162558198435299,0.0007915904514141442
Q9UDY4,DNAJB4,-2.6962922104179743,0.0008013014792644737
O60861,GAS7,-2.0193615712335347,0.0008015475750033266
P22830-2,FECH,-1.840558902507852,0.0008156277785656432
Q96EQ0,SGTB,-2.344737057610972,0.0008317217451106718
Q6YHK3,CD109,2.567988916715167,0.0008515301999946974
P47972,NPTX2,-3.6496133891448372,0.0008527044703877257
Q15102,PAFAH1B3,2.723456444351088,0.0008585168401947933
O75891-3,ALDH1L1,1.9285439102494921,0.0008593064159446561
O94826,TOMM70A,-2.6756089499359166,0.0008601254799216386
P29120,PCSK1,-1.7865759336912255,0.0008765666087635973
Q96PB7,OLFM3,-2.3466583058028694,0.0008770690853515675
P07108-5,DBI,2.0977153263783017,0.000877745736310973
Q00577,PURA,-1.8757379414604296,0.0008900278798011751
O60331-3,PIP5K1C,-1.9310764114147079,0.000893787465406971
Q02156,PRKCE,-4.645024464463515,0.0008994864958314848
Q9BVA1,TUBB2B,1.9391303198260548,0.0009020269588501115
O43175,PHGDH,2.4579337765062603,0.0009092217852422237
Q9Y2K9,STXBP5L,-2.2142740635365628,0.0009340241297808565
Q96DZ9,CMTM5,2.0456938761663244,0.0009446328163858539
O00429-6,DNM1L,-2.8026756507361448,0.000962716554820865
P53041,PPP5C,-2.215657051006307,0.000964661841285242
Q9BTN0,LRFN3,-2.810783432330208,0.0009672923779201431
P31040,SDHA,-1.9782363755002517,0.001001301384462754
Q9UBI6,GNG12,2.237391476971851,0.0010035561298689726
O15075-2,DCLK1,-3.0760237799080734,0.0010062551416160433
Q8WXF7,ATL1,-2.22502226398472,0.001019359440510686
Q15435,PPP1R7,-2.9945780976468086,0.0010205760062717752
P53701,HCCS,-2.423591063097613,0.0010273364447185595
Q96I99,SUCLG2,2.4378341668888033,0.0010343050076016104
E7EWQ4,DGKI,-2.492075945451213,0.00105565620966095
Q9NT62,ATG3,2.328855711217617,0.0010632998915358328
Q96RR4,CAMKK2,-1.9971321644316142,0.001064515537425681
Q08629,SPOCK1,2.160754650617866,0.001082425543849436
Q9NZ52,GGA3,-1.8646291859426627,0.0010978620038736924
Q9UJF2-2,RASAL2,-2.13425614591695,0.0011006303123328302
Q9BUR5,APOO,-2.026457881815221,0.0011054469554535272
A6NGN9,IGLON5,-1.8243001836125092,0.0011060926370275279
Q6QEF8-5,CORO6,-2.126080077033815,0.0011075360811490195
P10768,ESD,1.786537892738138,0.001112531573328961
P42263-2,GRIA3,-2.2875898983011806,0.0011153996895325242
Q13490,BIRC2,-3.133642011925556,0.001125310759085233
Q9P0L2,MARK1,-1.9418531118662536,0.0011341539767124817
A1L0T0,ILVBL,1.4858064214657676,0.0011394654243125858
P53677,AP3M2,-2.965376046244409,0.0011451434029841768
Q9NZM3,ITSN2,-2.5382280480221544,0.001145730332950409
Q9BSF4,C19orf52,-1.933441623738364,0.0011642107771809333
O14617-5,AP3D1,-2.419675792305943,0.0011679746432330293
O95139,NDUFB6,-1.7769945385579697,0.0011728167070222209
Q96CN7,ISOC1,1.945799768389148,0.0011735104605942789
O00451,GFRA2,-2.0295652102537156,0.0011833232002080782
P62072,TIMM10,-2.362632234192478,0.0011858680674843613
P28290,SSFA2,2.095842023699008,0.0011952800299294645
Q6ZSY5,PPP1R3F,-1.964078854264436,0.0012030606909863662
O95870,ABHD16A,-1.9478312052588453,0.0012061641144791855
P78369,CLDN10,2.4093806081050957,0.0012082994000685784
Q96G03,PGM2,2.5722702399374127,0.0012099087300622212
P18505,GABRB1,-1.8083914035805866,0.0012165047226801384
K7ELC2,RPS15,-1.602668724640237,0.0012233677883178278
I3L0A0,TMEM189-UBE2V1,-2.8152753763942187,0.001228506832561698
Q5JUW8,DLG3,-3.1590885056769342,0.0012366561206152136
A0A0A0MQW5,LMTK3,-1.8985315456327365,0.001249563041451394
P20340-2,RAB6A,2.506250032461221,0.0012498693272763781
P61601,NCALD,-2.592738925013403,0.0012533038742208898
H7BYT1,CSNK1D,1.8668636068080644,0.0012533447790353178
K7EKW2,OLFM2,-2.258406748995995,0.0012538137276770598
Q8IZD9,DOCK3,-1.931119041773668,0.0012538884525738051
Q8N3E9,PLCD3,2.1246243243702527,0.0012539137332567927
F2Z2J1,RPS6KA2,3.696158118893395,0.0012601211636163814
