Accession,Gene,coef,pval
P31153,MAT2A,1.376881400373212,5.776095246120819e-07
Q9NZL9,MAT2B,1.3292702671485783,1.947985419128126e-06
O15173-2,PGRMC2,1.1781617233756727,4.8480287050386306e-05
E7EWD3,ADAM23,1.1622061287727306,6.49455954547809e-05
Q9GZT8,NIF3L1,1.1191039346835367,0.00013779528280228513
P41250,GARS,1.11334367629164,0.00015176510637892864
P07205,PGK2,1.1090452056682483,0.00016300945815367625
P49789,FHIT,1.1083218945391682,0.00016497377811501934
Q9Y3D6,FIS1,1.106930828639785,0.0001688116878748998
P40818-2,USP8,1.1005498655384507,0.00018746943399903666
Q8TCZ2-5,CD99L2,1.0970794905828134,0.00019837904118716248
B7Z1P2,FBXO44,-1.097077995454328,0.00019838386209537857
Q9C0C2,TNKS1BP1,-1.0949544184586137,0.00020533869231096775
Q9UDT6,CLIP2,1.0760723256317357,0.0002775343999258477
A6NHL2,TUBAL3,1.0694992063486106,0.0003075746624072124
Q9NTJ5,SACM1L,1.0662272405986657,0.0003235903263866045
O60888-2,CUTA,1.0656435266584596,0.00032652492220232586
P43034,PAFAH1B1,1.0609979964666072,0.0003507451786219725
Q9Y426,C2CD2,1.0566899386239932,0.00037463357275385734
Q9Y2B0,CNPY2,1.055402690083762,0.00038204913884240554
Q8N135,LGI4,1.052050720730449,0.00040198044314183364
Q9UPU5,USP24,1.0455949067521226,0.0004430115619701488
Q96S97,MYADM,1.0440034602530517,0.0004536855199793226
P00505,GOT2,1.0410814182612391,0.00047388489371017357
P78357,CNTNAP1,1.038385563594993,0.0004932304400434136
P12036,NEFH,1.0312443256871502,0.0005479348504136591
P60709,ACTB,-1.026384684713465,0.0005881988571795999
Q14108,SCARB2,1.0238215170834413,0.0006104825500301756
Q8N1A0,KRT222,1.0187370503298407,0.0006569282637854579
Q14139-2,UBE4A,1.0132427637796395,0.0007106377335229611
Q9BSJ8,ESYT1,1.011188253020713,0.000731705639543188
P48553,TRAPPC10,1.008926204863418,0.0007555438648482054
P54619-3,PRKAG1,1.0084914397858964,0.0007602040184125666
P00414,MT-CO3,1.0010743155888986,0.0008437496920813335
Q99961,SH3GL1,-0.9983402625637569,0.0008765476139861544
Q9HAT2,SIAE,0.9979204516720367,0.0008816828645392256
O15083,ERC2,-0.9975508267315121,0.0008862263559342806
