Accession,Gene,coef,pval
P31153,MAT2A,2.774731928739883,0.0010753433277802804
Q9NZL9,MAT2B,2.357613190789916,0.0014780158162938303
O15173-2,PGRMC2,2.0150790634697797,0.0018997481132260157
Q9GZT8,NIF3L1,2.856535338406428,0.002223842272795959
P40818-2,USP8,1.6041977764151427,0.0022591281418269105
B7Z1P2,FBXO44,-1.7444280191532546,0.0024591842100964816
Q9Y3D6,FIS1,1.6256489776422953,0.00265718296968588
Q9UDT6,CLIP2,1.5400606410512692,0.0027819227138410757
Q9NTJ5,SACM1L,1.682717937479019,0.0028106661459793253
A6NHL2,TUBAL3,1.5068885929532017,0.002843373843266854
Q8N135,LGI4,1.8227441635004256,0.002866044699564679
Q8TCZ2-5,CD99L2,1.7019353352383444,0.0029367878700452196
Q9Y2B0,CNPY2,1.5957463072009874,0.002992211802749355
Q9Y426,C2CD2,1.610106185689219,0.003161708919618945
Q9C0C2,TNKS1BP1,-1.71810529894304,0.003215103188415024
E7EWD3,ADAM23,1.955724828210904,0.003383154824638441
P07205,PGK2,1.7196914254053293,0.0035208106636946223
P41250,GARS,1.7177997069507047,0.0035209806706297054
P78357,CNTNAP1,1.410961991397346,0.0036302536376415433
O60888-2,CUTA,1.8412096472158086,0.003765646929497063
Q14139-2,UBE4A,1.344461200128536,0.0038252475475506515
Q9BSJ8,ESYT1,1.5063745855501214,0.004043355563896459
Q8N1A0,KRT222,1.3731725807684694,0.004139451061218697
Q9UPU5,USP24,1.682688642123873,0.004146986597556629
P42336,PIK3CA,1.2268789712829737,0.00419917390574768
P54619-3,PRKAG1,2.2319531106522197,0.004287790230090235
P48553,TRAPPC10,1.6190142829390597,0.0043628474508725324
P12036,NEFH,1.5619152753491141,0.004374477008422338
Q9HAT2,SIAE,1.3233872296207176,0.0045559567261265
Q86V48,LUZP1,1.2961851128370343,0.004834319273900975
Q96S97,MYADM,1.6218631480135126,0.004868254433165621
O15083,ERC2,-1.348816457186385,0.0049335952613442065
Q9H446,RWDD1,1.3410846965066037,0.005112041840620497
P60709,ACTB,-1.4629746150299814,0.005143490696373293
Q14108,SCARB2,1.8414644269979712,0.005143787617734793
Q8TCA0,LRRC20,1.8304833970222252,0.005151288754422569
Q9H1E3,NUCKS1,1.3412063829903604,0.005162017042788238
P43034,PAFAH1B1,1.6777241244993175,0.005210839680123911
Q99442,SEC62,1.3681714012417328,0.0053169594149386525
Q9C0C9,UBE2O,1.20472618244352,0.0053258171468834724
Q02246,CNTN2,1.2332038804051526,0.005339804040590878
P49789,FHIT,2.098914884583079,0.005380825146614079
Q9UEW8,STK39,1.2946781223787651,0.0054159463549339655
Q969E4,TCEAL3,1.298762964730657,0.005458206350810548
Q9Y394,DHRS7,1.4966041571034434,0.005467556861349869
P00505,GOT2,1.6502393890404967,0.00559391747259961
Q99961,SH3GL1,-1.400297898780927,0.005601109648671175
P00414,MT-CO3,1.4140298995017042,0.005655436502141776
Q8N145,LGI3,1.258606097739222,0.005836585779911387
P15531-2,NME1,1.2491085564772493,0.005985624644566374
Q14203,DCTN1,1.2153718149147823,0.006028823511342834
Q09470,KCNA1,1.4530098044347644,0.006169876686834898
Q92882,OSTF1,1.405801968844117,0.0062006643560512465
Q9UHA4,LAMTOR3,1.5572886848648297,0.00623476645283106
Q5GH76,XKR4,-1.8108858348611085,0.00625965847081964
Q8TEW0,PARD3,5.4725219484278425,0.006530650500328183
P42574,CASP3,-1.5829008579034773,0.006530940114144191
Q96F85,CNRIP1,-1.1279451715788915,0.00658941179293289
X6RKN2,NFASC,1.1681266477789782,0.006793907943133459
Q9BTE1,DCTN5,1.151475391963323,0.00697990767696662
O00258,WRB,1.2926782163957065,0.007008565852467586
P08133,ANXA6,1.382299106222064,0.0070298418186741105
Q9NR19-2,ACSS2,1.2439800529854137,0.007208188648385725
O43772,SLC25A20,1.1831129335729502,0.0072372849945219675
P20337,RAB3B,-1.3148670394577757,0.007316609505773862
P26885,FKBP2,1.252774895120269,0.007344972447284888
Q7Z6G8-3,ANKS1B,-1.7131616259568236,0.007413873842256612
H7BXI1,ESYT2,1.2922549688931193,0.007475173962935618
Q13303,KCNAB2,1.3901047161384743,0.007525476457785065
O76054,SEC14L2,1.233983474763081,0.0076761598884688914
P23470,PTPRG,-1.328698562665972,0.007679428261028516
P16389,KCNA2,1.2468362222224727,0.007758198099619646
P61513,RPL37A,-1.3562557398304642,0.007800179151185831
Q9NVH0,EXD2,1.1829824791133394,0.00787542054925347
Q9BYB0,SHANK3,-1.21306340995601,0.007963240099120276
E9PR17,CD59,1.223464867164031,0.007965411476569687
P17658,KCNA6,1.2206901450066463,0.008019522648080398
